Organism	Study	KEGG_ID	metabolite	concentration
PCC 6803	Dempo_2014	C00149		0.07912996
PCC 6803	Hasunuma_2013	C00149		0.0478258
PCC 6803	Shastri_2007	C00149		1.73912
PCC 6803	Yoshikawa_2013_Autotrophic	C00149		0.1217384
PCC 6803	Yoshikawa_2013_Mixotrophic	C00149		0.195651
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00149		0.1608686
PCC 6803	Dempo_2014	C00152		0.18869452
PCC 6803	Hasunuma_2013	C00152		0.0152173
PCC 6803	Yoshikawa_2013_Autotrophic	C00152		0.0782604
PCC 6803	Yoshikawa_2013_Mixotrophic	C00152		0.0826082
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00152		0.065217
PCC 6803	Dempo_2014	C00158		0.9391248
PCC 6803	Hasunuma_2013	C00158		0.1260862
PCC 6803	Shastri_2007	C00158		0.043478
PCC 6803	Yoshikawa_2013_Autotrophic	C00158		0.43478
PCC 6803	Yoshikawa_2013_Mixotrophic	C00158		0.282607
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00158		0.1260862
PCC 6803	Dempo_2014	C00160		0.032651978
PCC 6803	Shastri_2007	C00160		0.043478
PCC 6803	Dempo_2014	C00183		0.42651918
PCC 6803	Hasunuma_2013	C00183		0.0999994
PCC 6803	Yoshikawa_2013_Autotrophic	C00183		0.1434774
PCC 6803	Yoshikawa_2013_Mixotrophic	C00183		0.2086944
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00183		0.1782598
PCC 6803	Hasunuma_2013	C00186		1.260862
PCC 6803	Yoshikawa_2013_Autotrophic	C00186		1.999988
PCC 6803	Yoshikawa_2013_Mixotrophic	C00186		0.6043442
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00186		0.9086902
PCC 6803	Dempo_2014	C00188		0.36478042
PCC 6803	Hasunuma_2013	C00188		0.0826082
PCC 6803	Yoshikawa_2013_Autotrophic	C00188		0.195651
PCC 6803	Yoshikawa_2013_Mixotrophic	C00188		0.282607
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00188		0.2347812
PCC 6803	Dempo_2014	C00197	P3G	6.434744
PCC 6803	Hasunuma_2013	C00197	P3G	0.565214
PCC 6803	Shastri_2007	C00197	P3G	2.60868
PCC 6803	Yoshikawa_2013_Autotrophic	C00197	P3G	0.5782574
PCC 6803	Yoshikawa_2013_Mixotrophic	C00197	P3G	2.891287
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00197	P3G	1.3739048
PCC 6803	Dempo_2014	C00199	Ru5P	0.17565112
PCC 6803	Hasunuma_2013	C00199	Ru5P	0.01260862
PCC 6803	Shastri_2007	C00199	Ru5P	1.30434
PCC 6803	Yoshikawa_2013_Autotrophic	C00199	Ru5P	0.0956516
PCC 6803	Yoshikawa_2013_Mixotrophic	C00199	Ru5P	0.2304334
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00199	Ru5P	0.413041
PCC 6803	Hasunuma_2013	C00212		0.0826082
PCC 6803	Shastri_2007	C00231	Xu5P	0.043478
PCC 6803	Shastri_2007	C00236	BPG	0.043478
PCC 6803	Hasunuma_2013	C00242		0.00478258
PCC 6803	Yoshikawa_2013_Autotrophic	C00242		0.0173912
PCC 6803	Dempo_2014	C00253		0.0001547817
PCC 6803	Hasunuma_2013	C00257		0.0130434
PCC 6803	Yoshikawa_2013_Autotrophic	C00257		0.0260868
PCC 6803	Yoshikawa_2013_Mixotrophic	C00257		0.0913038
PCC 6803	Yoshikawa_2013_Photoheterotrophic	C00257		1.2739054
PCC 6803	Dempo_2014	C00258		0.010999934
PCC 6803	Hasunuma_2013	C00258		0.0565214
PCC 6803	Dempo_2014	C00263		0.01326079
PCC 6803	Hasunuma_2013	C00263		0.00739126
PCC 6803	Yoshikawa_2013_Autotrophic	C00263		0.0043478
